epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),metrics/fitness(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.74829,6.9339,7.02881,7.03962,0,0,0,0,0,0,5.53993,6.70075,6.92818,0.0007,0.0007,0.0007
2,7.45278,6.78767,6.288,6.81918,0,0,0,0,0,0,5.52685,6.4173,6.88238,0.00149963,0.00149963,0.00149963
3,11.5115,6.08224,5.37477,6.47617,0,0,0,0,0,0,5.39097,6.24782,6.72833,0.00229775,0.00229775,0.00229775
4,14.7322,5.64428,5.14029,6.15764,0.10714,0.02679,0.06808,0.02188,0.60857,0.0265,5.17204,6.13119,6.57564,0.00309319,0.00309319,0.00309319
5,17.8751,5.16605,4.90203,5.90797,0.06478,0.1325,0.09469,0.04343,0.70015,0.04855,4.56116,5.83745,6.23035,0.00388478,0.00388478,0.00388478
6,21.1684,4.98936,4.79819,5.54273,0.11128,0.33529,0.18173,0.06524,0.70479,0.07689,4.09663,5.6552,5.8259,0.00467136,0.00467136,0.00467136
7,25.0982,4.81206,4.60964,5.33861,0.08572,0.46585,0.22276,0.06933,0.66794,0.08467,4.13294,5.45196,5.59024,0.00545178,0.00545178,0.00545178
8,28.106,4.60954,4.52362,5.11678,0.0291,0.56912,0.20539,0.06966,0.67879,0.08324,3.8137,4.99249,5.39104,0.0062249,0.0062249,0.0062249
9,30.5462,4.63609,4.6645,5.15592,0.02883,0.64626,0.21304,0.08237,0.69093,0.09544,3.71038,4.87466,5.08406,0.00698959,0.00698959,0.00698959
10,34.0144,4.44463,4.71582,5.06827,0.70403,0.12363,0.2412,0.09518,0.69383,0.10979,3.68014,4.15939,4.98252,0.00774473,0.00774473,0.00774473
11,37.1451,4.25002,4.50046,4.98629,0.46423,0.23367,0.22974,0.08511,0.67042,0.09957,3.91938,4.04108,4.96985,0.00848922,0.00848922,0.00848922
