epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),metrics/fitness(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,352.573,3.24834,3.26869,2.77516,0.26939,0.1812,0.12811,0.04724,0.66285,0.05533,1.94775,7.06573,1.78959,0.00332444,0.00332444,0.00332444
2,686.253,2.27755,2.2364,1.95152,0.31152,0.19817,0.15791,0.05899,0.66701,0.06888,1.7939,6.43641,1.60947,0.00665615,0.00665615,0.00665615
3,1022.84,2.17485,2.13192,1.82498,0.30401,0.23145,0.16036,0.06002,0.66625,0.07005,1.80008,7.82491,1.60666,0.00998135,0.00998135,0.00998135
