epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),metrics/fitness(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,353.521,5.00053,5.36251,4.09422,0.01134,0.02101,0.00771,0.00187,0.5714,0.00246,3.72867,4.23214,3.22172,3.32444e-05,3.32444e-05,3.32444e-05
2,6005.81,4.14099,4.25043,3.57124,0.60453,0.03634,0.05192,0.01576,0.63753,0.01937,2.88476,8.56017,2.66205,6.65127e-05,6.65127e-05,6.65127e-05
3,6334.86,3.54068,3.59289,3.06351,0.58653,0.09329,0.10386,0.03428,0.65155,0.04123,2.54798,6.69768,2.36867,9.95211e-05,9.95211e-05,9.95211e-05
