epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),metrics/fitness(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.7521,6.37821,6.65895,4.81831,0.78825,0.03443,0.0329,0.01094,0.62871,0.01314,4.58986,4.89211,3.75888,0.00331615,0.00331615,0.00331615
2,171.928,4.67634,4.93409,3.53447,0.43029,0.08003,0.03557,0.01172,0.62113,0.01411,4.45396,4.85436,3.54531,0.00664786,0.00664786,0.00664786
3,254.571,4.6045,4.90833,3.37021,0.56892,0.09735,0.06008,0.02122,0.6363,0.02511,4.19441,4.65638,3.31513,0.00997307,0.00997307,0.00997307
4,337.476,4.44874,4.86604,3.25838,0.54627,0.03968,0.0412,0.01548,0.63162,0.01805,4.20116,4.72424,3.35685,0.00997803,0.00997803,0.00997803
5,414.44,4.34618,4.73671,3.19395,0.36434,0.0735,0.0462,0.01417,0.64104,0.01737,4.10671,4.61949,3.24925,0.00996097,0.00996097,0.00996097
