epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),metrics/fitness(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,346.963,3.24395,3.26374,2.76994,0.2551,0.18095,0.12946,0.04753,0.66692,0.05573,1.93712,7.46115,1.77233,0.00332444,0.00332444,0.00332444
2,689.964,2.27586,2.2393,1.94889,0.30727,0.21228,0.1556,0.05884,0.66891,0.06851,1.77648,6.98689,1.59854,0.00665615,0.00665615,0.00665615
3,1027.85,2.18449,2.14488,1.82717,0.33801,0.2183,0.15012,0.05671,0.66722,0.06605,1.78238,7.15241,1.6,0.00998135,0.00998135,0.00998135
4,1365.7,2.12836,2.08872,1.77717,0.27603,0.22665,0.16435,0.06362,0.67125,0.0737,1.73081,9.20805,1.54062,0.00997803,0.00997803,0.00997803
5,1700.87,2.06975,1.98435,1.71956,0.24531,0.22617,0.17121,0.0663,0.66868,0.0768,1.70816,6.13138,1.51027,0.00996097,0.00996097,0.00996097
6,2038.76,1.99417,1.92846,1.6707,0.27583,0.24901,0.19152,0.076,0.68306,0.08755,1.59907,7.08614,1.43824,0.00993906,0.00993906,0.00993906
7,2381.46,1.98613,1.91534,1.66259,0.25845,0.25194,0.18982,0.07239,0.67313,0.08414,1.69643,5.31611,1.49773,0.00991232,0.00991232,0.00991232
8,2713.78,1.94529,1.86127,1.63038,0.27818,0.25349,0.19094,0.08043,0.68423,0.09148,1.63383,6.73174,1.4473,0.00988079,0.00988079,0.00988079
9,3050.64,1.9356,1.84935,1.63999,0.26626,0.24151,0.18796,0.07656,0.681,0.0877,1.64147,6.5694,1.44846,0.00984449,0.00984449,0.00984449
10,3388.68,1.91155,1.81454,1.60768,0.28919,0.25528,0.19613,0.07973,0.68168,0.09137,1.626,5.2019,1.43224,0.00980345,0.00980345,0.00980345
