epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),metrics/fitness(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.543,5.00053,5.36251,4.09422,0.01134,0.02101,0.00771,0.00187,0.5714,0.00246,3.72867,4.23214,3.22172,3.32444e-05,3.32444e-05,3.32444e-05
2,691.228,4.14099,4.25043,3.57124,0.60453,0.03634,0.05192,0.01576,0.63753,0.01937,2.88476,8.56017,2.66205,6.65127e-05,6.65127e-05,6.65127e-05
3,1017.15,3.54068,3.59289,3.06351,0.58653,0.09329,0.10386,0.03428,0.65155,0.04123,2.54798,6.69768,2.36867,9.95211e-05,9.95211e-05,9.95211e-05
4,1345.68,3.12092,3.13167,2.74488,0.5154,0.11927,0.09266,0.03243,0.66122,0.03845,2.34027,6.21887,2.21876,9.91232e-05,9.91232e-05,9.91232e-05
5,1670.62,2.87254,2.85149,2.54442,0.41096,0.1418,0.11298,0.03992,0.66355,0.04723,2.18227,6.33868,2.07315,9.84449e-05,9.84449e-05,9.84449e-05
6,1997.27,2.67512,2.67211,2.41296,0.33629,0.14634,0.11778,0.04319,0.66379,0.05065,2.11442,6.84529,1.99313,9.75773e-05,9.75773e-05,9.75773e-05
7,2325.51,2.60755,2.60789,2.34292,0.39818,0.15398,0.12543,0.0448,0.66339,0.05286,2.0851,5.77228,1.95609,9.65239e-05,9.65239e-05,9.65239e-05
8,2674.33,2.51517,2.5071,2.26376,0.40462,0.17179,0.13349,0.0505,0.67387,0.0588,1.94385,7.46665,1.86919,9.52889e-05,9.52889e-05,9.52889e-05
9,2999.8,2.45671,2.44617,2.23549,0.37777,0.17671,0.13804,0.0512,0.67221,0.05988,1.95609,6.91003,1.85438,9.38772e-05,9.38772e-05,9.38772e-05
10,3328.21,2.41187,2.39862,2.17406,0.34805,0.18408,0.14238,0.05397,0.67447,0.06281,1.90806,6.80545,1.82769,9.22942e-05,9.22942e-05,9.22942e-05
11,3655.55,2.38489,2.36867,2.15881,0.32559,0.18628,0.14029,0.054,0.67308,0.06263,1.92014,7.47113,1.81721,9.05463e-05,9.05463e-05,9.05463e-05
12,4052.41,2.34295,2.32222,2.09757,0.3205,0.19109,0.14538,0.05534,0.67305,0.06434,1.88829,7.18208,1.78091,8.86404e-05,8.86404e-05,8.86404e-05
13,4382.97,2.31263,2.29941,2.0661,0.33128,0.19189,0.14966,0.05784,0.67505,0.06702,1.85635,6.86184,1.76129,8.65839e-05,8.65839e-05,8.65839e-05
14,4722.25,2.31026,2.29736,2.07647,0.3219,0.18883,0.14958,0.05779,0.67549,0.06697,1.83901,6.86112,1.74607,8.43851e-05,8.43851e-05,8.43851e-05
15,5074.79,2.28375,2.27091,2.04302,0.31644,0.19612,0.15,0.05877,0.67708,0.06789,1.82377,7.13033,1.73685,8.20525e-05,8.20525e-05,8.20525e-05
16,5435.19,2.26508,2.25846,2.03035,0.31622,0.19968,0.15446,0.06157,0.67745,0.07086,1.78855,6.61107,1.70907,7.95954e-05,7.95954e-05,7.95954e-05
17,5794.47,2.24726,2.23854,2.01402,0.32128,0.1953,0.15262,0.05945,0.67375,0.06876,1.8281,6.79273,1.72554,7.70234e-05,7.70234e-05,7.70234e-05
18,6139.97,2.22664,2.1987,1.99601,0.31732,0.19916,0.15648,0.06256,0.67759,0.07195,1.79269,7.04495,1.69688,7.43468e-05,7.43468e-05,7.43468e-05
19,6489.87,2.21328,2.21263,1.98466,0.31604,0.20017,0.15577,0.06096,0.67359,0.07044,1.81442,7.69449,1.70676,7.15761e-05,7.15761e-05,7.15761e-05
20,6831.6,2.19182,2.1787,1.96451,0.32053,0.19324,0.15478,0.06094,0.67435,0.07033,1.79387,6.97742,1.69107,6.87222e-05,6.87222e-05,6.87222e-05
21,7183.22,2.20388,2.18905,1.97057,0.31546,0.19992,0.15958,0.06222,0.67583,0.07196,1.79048,6.74198,1.68073,6.57963e-05,6.57963e-05,6.57963e-05
22,7528.51,2.18006,2.16727,1.9724,0.32197,0.20278,0.16063,0.06302,0.67652,0.07278,1.7886,6.66597,1.67925,6.28101e-05,6.28101e-05,6.28101e-05
23,7872.86,2.16649,2.17609,1.94058,0.31814,0.20018,0.1624,0.06317,0.67634,0.07309,1.78892,6.74012,1.6746,5.97754e-05,5.97754e-05,5.97754e-05
24,8212.44,2.17906,2.16025,1.94842,0.31258,0.20168,0.16178,0.06395,0.67827,0.07373,1.76,7.0011,1.6621,5.6704e-05,5.6704e-05,5.6704e-05
25,8544.24,2.16779,2.1574,1.93876,0.31466,0.20261,0.16222,0.06343,0.67496,0.07331,1.78217,6.46669,1.66527,5.36081e-05,5.36081e-05,5.36081e-05
26,8885.08,2.16964,2.14165,1.93499,0.31707,0.20502,0.16395,0.0638,0.67606,0.07382,1.78137,6.92645,1.66496,5.05e-05,5.05e-05,5.05e-05
27,9234.88,2.14214,2.12067,1.92754,0.32057,0.20728,0.16303,0.06384,0.67578,0.07376,1.77077,6.94254,1.65917,4.73919e-05,4.73919e-05,4.73919e-05
28,9567.26,2.13548,2.11993,1.90925,0.3247,0.21005,0.16728,0.06523,0.6751,0.07543,1.77133,6.9857,1.65199,4.4296e-05,4.4296e-05,4.4296e-05
29,9910.12,2.13368,2.12225,1.90812,0.33233,0.21626,0.16519,0.06421,0.67522,0.07431,1.76912,6.6748,1.64837,4.12246e-05,4.12246e-05,4.12246e-05
30,10243.6,2.12894,2.09962,1.90082,0.32359,0.21095,0.16743,0.06609,0.67714,0.07623,1.75838,6.93443,1.64652,3.81899e-05,3.81899e-05,3.81899e-05
31,10580.2,2.13277,2.11729,1.8962,0.32329,0.21146,0.168,0.06576,0.6737,0.07598,1.76431,6.58741,1.64161,3.52037e-05,3.52037e-05,3.52037e-05
32,10914.4,2.12447,2.10645,1.89442,0.32045,0.21737,0.16893,0.06609,0.67514,0.07638,1.75945,6.87298,1.63944,3.22778e-05,3.22778e-05,3.22778e-05
33,11248.7,2.12775,2.10823,1.88714,0.3268,0.21402,0.16788,0.06592,0.67541,0.07612,1.74816,6.64117,1.63799,2.94239e-05,2.94239e-05,2.94239e-05
34,11581.5,2.10532,2.09565,1.87979,0.32783,0.21146,0.16664,0.06489,0.67549,0.07506,1.75883,6.5444,1.64081,2.66532e-05,2.66532e-05,2.66532e-05
35,11913.4,2.10153,2.08692,1.88373,0.32041,0.2145,0.16908,0.06632,0.67578,0.07659,1.75046,6.90106,1.63333,2.39766e-05,2.39766e-05,2.39766e-05
36,12245.6,2.10654,2.10563,1.89268,0.32887,0.21288,0.1686,0.06659,0.67716,0.07679,1.74954,6.7348,1.63597,2.14046e-05,2.14046e-05,2.14046e-05
