epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),metrics/fitness(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,517.886,5.82233,5.24859,4.62142,0.26806,0.17717,0.12798,0.04767,0.66429,0.0557,3.51849,10.6692,2.96542,0.00332444,0.00332444,0.00332444
2,4128.17,4.08395,3.59115,3.25943,0.30737,0.20349,0.15886,0.06156,0.67124,0.07129,3.19564,11.015,2.67733,0.00602837,0.00602837,0.00602837
3,7979.1,3.86061,3.35736,3.02722,0.2295,0.24129,0.16224,0.06371,0.6728,0.07356,3.14112,12.9489,2.63074,0.00657379,0.00657379,0.00657379
4,11226.1,3.67272,3.1456,2.89573,0.2859,0.23803,0.17691,0.06967,0.67468,0.0804,3.02105,13.2199,2.52438,0.00352037,0.00352037,0.00352037
5,13182.5,3.52968,2.96335,2.78704,0.28996,0.24286,0.19817,0.07919,0.6809,0.09109,2.91984,9.26698,2.45535,0.00104537,0.00104537,0.00104537
