epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),metrics/fitness(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7891,6.93246,6.9086,6.9643,0,0,0,0,0,0,4.87842,6.58763,6.8882,0.0014,0.0014,0.0014
2,26.2271,6.09986,5.77318,6.47661,0.05,0.00403,0.02693,0.01079,0.65227,0.01241,4.05509,6.19211,6.55499,0.00289929,0.00289929,0.00289929
3,32.4502,5.49409,5.20847,5.86196,0.02234,0.1107,0.03859,0.01604,0.63243,0.0183,3.78988,5.87189,5.98846,0.0043957,0.0043957,0.0043957
4,38.4901,5.00417,4.99819,5.36969,0.0546,0.35274,0.10519,0.0452,0.6429,0.0512,3.61996,5.35612,5.15135,0.00588704,0.00588704,0.00588704
5,43.8967,4.58925,4.74141,5.16208,0.02395,0.62829,0.13036,0.06156,0.65645,0.06844,3.53451,4.88278,4.81553,0.00737112,0.00737112,0.00737112
6,49.6707,4.54789,4.73487,4.91142,0.64146,0.04186,0.13138,0.06104,0.65018,0.06808,3.4289,4.50682,4.59368,0.00884576,0.00884576,0.00884576
7,54.6885,4.20648,4.53264,4.82793,0.55634,0.06268,0.1146,0.05001,0.67992,0.05647,3.23573,4.46662,4.36919,0.00991232,0.00991232,0.00991232
8,59.3402,4.19694,4.37765,4.60758,0.37752,0.0965,0.13197,0.05077,0.65221,0.05889,3.26658,4.59468,4.33589,0.00988079,0.00988079,0.00988079
9,65.232,3.96306,4.44185,4.44456,0.48229,0.13225,0.16434,0.05971,0.657,0.07017,3.37784,4.2807,4.46844,0.00984449,0.00984449,0.00984449
10,71.081,3.88812,4.13887,4.32871,0.50747,0.20001,0.20102,0.0865,0.67074,0.09795,3.27219,4.45714,4.18677,0.00980345,0.00980345,0.00980345
11,77.1886,3.72629,4.21268,4.31065,0.45142,0.21215,0.19455,0.07962,0.67929,0.09112,3.01422,4.59196,4.00349,0.00975773,0.00975773,0.00975773
12,82.4731,3.73281,4.16036,4.1951,0.41451,0.2256,0.16882,0.07645,0.68406,0.08569,3.08891,4.09369,4.03839,0.00970736,0.00970736,0.00970736
13,87.2669,3.70895,4.06633,4.15216,0.34233,0.14152,0.16982,0.05796,0.68142,0.06915,3.35007,3.92075,4.24063,0.00965239,0.00965239,0.00965239
14,92.4433,3.58978,3.90954,4.00234,0.38181,0.38222,0.20249,0.0871,0.6811,0.09864,3.20628,3.86666,4.16892,0.00959289,0.00959289,0.00959289
15,98.422,3.53501,3.80096,4.06656,0.51481,0.18224,0.19562,0.0858,0.69849,0.09678,3.08637,3.78408,4.04324,0.00952889,0.00952889,0.00952889
16,103.504,3.58086,3.71466,4.02964,0.65598,0.18021,0.19782,0.07812,0.67908,0.09009,3.08983,4.02984,4.04704,0.00946048,0.00946048,0.00946048
17,108.452,3.52584,3.73938,3.85594,0.36597,0.21563,0.20272,0.09122,0.69329,0.10237,3.01295,3.76398,4.01069,0.00938772,0.00938772,0.00938772
18,113.702,3.4486,3.82923,3.95645,0.32549,0.19527,0.19999,0.08613,0.68946,0.09751,3.1658,3.77734,4.09642,0.00931067,0.00931067,0.00931067
19,118.489,3.3756,3.6716,3.88847,0.22286,0.14384,0.20717,0.08066,0.66908,0.09331,3.39884,3.73785,4.30103,0.00922942,0.00922942,0.00922942
20,123.076,3.33977,3.60517,3.8315,0.61053,0.21127,0.21323,0.08912,0.68508,0.10153,3.08727,3.74857,4.04607,0.00914405,0.00914405,0.00914405
21,128.296,3.43693,3.73332,3.83806,0.50384,0.2358,0.20243,0.07757,0.68094,0.09005,3.29186,3.8119,4.1498,0.00905463,0.00905463,0.00905463
22,133.596,3.405,3.5979,3.81657,0.36476,0.16103,0.18955,0.07027,0.67276,0.0822,3.37585,3.8833,4.28154,0.00896127,0.00896127,0.00896127
23,139.884,3.35288,3.56224,3.80433,0.44063,0.19672,0.19869,0.08165,0.69133,0.09335,3.07792,3.81507,4.00443,0.00886404,0.00886404,0.00886404
24,144.717,3.23337,3.54517,3.74202,0.54436,0.21512,0.18519,0.07812,0.68646,0.08883,3.12229,3.77483,4.03475,0.00876305,0.00876305,0.00876305
25,150.298,3.24817,3.46956,3.71949,0.56277,0.18547,0.19464,0.08218,0.68447,0.09342,3.20811,3.84902,4.11373,0.00865839,0.00865839,0.00865839
26,155.239,3.37672,3.66556,3.7088,0.68865,0.13259,0.19963,0.08649,0.69792,0.09781,3.16363,3.64724,4.03102,0.00855018,0.00855018,0.00855018
27,160.213,3.29143,3.47163,3.73217,0.79451,0.17522,0.18823,0.07658,0.6988,0.08774,3.15587,3.60455,4.03952,0.00843851,0.00843851,0.00843851
28,165.22,3.21259,3.45023,3.64619,0.67797,0.15944,0.20972,0.0883,0.69851,0.10044,3.1022,3.66978,4.02197,0.00832349,0.00832349,0.00832349
29,170.305,3.13827,3.40358,3.65254,0.65534,0.26644,0.21205,0.08408,0.68415,0.09688,3.34316,3.70329,4.27395,0.00820525,0.00820525,0.00820525
30,175.338,3.17413,3.47129,3.61341,0.60937,0.1958,0.2066,0.09141,0.69399,0.10293,3.22417,3.80003,4.10371,0.00808389,0.00808389,0.00808389
31,180.786,3.09847,3.25058,3.5743,0.5687,0.25659,0.21142,0.10038,0.70295,0.11148,3.14246,3.64553,4.06377,0.00795954,0.00795954,0.00795954
32,186.927,3.26299,3.47454,3.67927,0.65863,0.2174,0.22278,0.09527,0.70283,0.10802,3.11597,3.57471,3.97616,0.00783231,0.00783231,0.00783231
33,192.978,3.07168,3.35666,3.55647,0.55251,0.21382,0.22502,0.09495,0.70297,0.10796,3.25772,3.56497,4.13169,0.00770234,0.00770234,0.00770234
34,198.01,3.11373,3.29885,3.50247,0.54747,0.24345,0.21183,0.09003,0.6976,0.10221,3.141,3.58673,4.0006,0.00756976,0.00756976,0.00756976
35,202.791,3.09418,3.25475,3.51965,0.64194,0.21763,0.18511,0.08672,0.69407,0.09656,3.15345,3.69015,4.02938,0.00743468,0.00743468,0.00743468
36,207.686,3.0949,3.04993,3.52402,0.56976,0.22528,0.20069,0.08693,0.70956,0.0983,3.01418,3.86445,3.89425,0.00729725,0.00729725,0.00729725
37,212.743,3.11368,3.31852,3.55558,0.57401,0.22814,0.21343,0.09501,0.70745,0.10685,3.11157,3.66706,4.0197,0.00715761,0.00715761,0.00715761
38,218.664,3.12089,3.23942,3.64,0.52786,0.2494,0.1795,0.07781,0.70529,0.08798,3.12169,3.81479,4.06199,0.00701588,0.00701588,0.00701588
39,223.381,3.11152,3.23129,3.5191,0.70301,0.13893,0.1955,0.08207,0.70783,0.09342,3.01764,3.76269,3.95315,0.00687222,0.00687222,0.00687222
40,228.402,3.06357,3.15524,3.54509,0.69617,0.13958,0.21478,0.08941,0.69559,0.10195,3.21419,3.56246,4.16755,0.00672675,0.00672675,0.00672675
41,233.365,2.97344,3.06414,3.43214,0.52248,0.18572,0.2112,0.08616,0.69898,0.09866,3.30077,3.62763,4.20405,0.00657963,0.00657963,0.00657963
42,238.347,3.06122,3.15612,3.49057,0.66691,0.14843,0.2189,0.09002,0.70356,0.10291,3.2815,3.71553,4.12643,0.00643101,0.00643101,0.00643101
43,243.373,3.01789,3.11136,3.42898,0.56897,0.21785,0.22654,0.09258,0.70479,0.10597,3.1838,3.54207,4.09317,0.00628101,0.00628101,0.00628101
44,248.651,3.01996,3.25334,3.50442,0.67162,0.19876,0.22079,0.09597,0.69927,0.10846,3.19231,3.61879,4.06608,0.00612981,0.00612981,0.00612981
45,253.624,2.96708,3.0503,3.44334,0.39045,0.26508,0.25443,0.1158,0.70435,0.12966,3.08499,3.58902,3.96059,0.00597754,0.00597754,0.00597754
46,259.775,2.97785,3.09821,3.49125,0.54973,0.21263,0.24685,0.11134,0.70122,0.12489,3.14821,3.56938,3.97626,0.00582435,0.00582435,0.00582435
47,264.418,3.02037,3.15241,3.45834,0.54156,0.24057,0.233,0.10368,0.70623,0.11661,3.14265,3.48921,3.96905,0.0056704,0.0056704,0.0056704
48,269.497,3.01645,3.07738,3.40127,0.56542,0.21113,0.22229,0.09971,0.71022,0.11197,3.11505,3.71437,4.01041,0.00551584,0.00551584,0.00551584
49,274.443,2.98132,3.10053,3.45594,0.54929,0.22775,0.23873,0.10483,0.70877,0.11822,3.18084,3.55972,4.08337,0.00536081,0.00536081,0.00536081
50,279.368,3.02307,2.93196,3.40218,0.52034,0.23518,0.2292,0.10319,0.71655,0.11579,3.09234,3.52203,3.99418,0.00520548,0.00520548,0.00520548
51,284.986,3.0025,3.03887,3.4415,0.65607,0.212,0.21581,0.09126,0.71221,0.10372,3.05126,3.53391,3.93994,0.00505,0.00505,0.00505
52,292.98,2.92962,2.9862,3.41527,0.55003,0.21279,0.20785,0.08972,0.70493,0.10154,3.0446,3.68483,3.96112,0.00489452,0.00489452,0.00489452
