epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),metrics/fitness(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,339.969,5.00053,5.36251,4.09422,0.01134,0.02101,0.00771,0.00187,0.5714,0.00246,3.72867,4.23214,3.22172,3.32444e-05,3.32444e-05,3.32444e-05
2,670.227,4.14099,4.25043,3.57124,0.60453,0.03634,0.05192,0.01576,0.63753,0.01937,2.88476,8.56017,2.66205,6.65127e-05,6.65127e-05,6.65127e-05
3,997.847,3.54068,3.59289,3.06351,0.58653,0.09329,0.10386,0.03428,0.65155,0.04123,2.54798,6.69768,2.36867,9.95211e-05,9.95211e-05,9.95211e-05
4,1327.14,3.12092,3.13167,2.74488,0.5154,0.11927,0.09266,0.03243,0.66122,0.03845,2.34027,6.21887,2.21876,9.91232e-05,9.91232e-05,9.91232e-05
5,1654.52,2.87254,2.85149,2.54442,0.41096,0.1418,0.11298,0.03992,0.66355,0.04723,2.18227,6.33868,2.07315,9.84449e-05,9.84449e-05,9.84449e-05
6,1982.58,2.67512,2.67211,2.41296,0.33629,0.14634,0.11778,0.04319,0.66379,0.05065,2.11442,6.84529,1.99313,9.75773e-05,9.75773e-05,9.75773e-05
7,2311.96,2.60755,2.60789,2.34292,0.39818,0.15398,0.12543,0.0448,0.66339,0.05286,2.0851,5.77228,1.95609,9.65239e-05,9.65239e-05,9.65239e-05
8,2640.21,2.51517,2.5071,2.26376,0.40462,0.17179,0.13349,0.0505,0.67387,0.0588,1.94385,7.46665,1.86919,9.52889e-05,9.52889e-05,9.52889e-05
