epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.201,5.25148,5.18447,1.62822,0.33978,0.20162,0.13067,0.04724,0.6637,3.33338,25.6948,1.14615,0.067088,0.000332444,0.000332444
2,676.824,4.04562,4.18307,1.28636,0.30852,0.19851,0.15471,0.06228,0.67114,3.19442,17.6075,1.0799,0.0340878,0.000665615,0.000665615
3,1011.84,3.86055,3.98313,1.21287,0.36253,0.21198,0.17152,0.06879,0.67693,3.02533,14.1434,1.04348,0.00108702,0.000998135,0.000998135
