epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),metrics/fitness(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,214.881,3.31408,3.01577,3.99048,0.33034,0.19697,0.23878,0.11341,0.72972,0.12595,3.25153,4.23343,4.78066,0.00154982,0.00154982,0.00154982
77,217.476,3.42164,3.08075,3.98996,0.31275,0.29924,0.25869,0.13781,0.72744,0.1499,3.28319,4.2709,4.81166,0.00144161,0.00144161,0.00144161
78,220.007,3.24965,2.96732,3.87678,0.31959,0.32159,0.26069,0.12668,0.71709,0.14008,3.31063,4.39116,4.83416,0.00133695,0.00133695,0.00133695
79,222.839,3.40852,3.12996,3.98988,0.33573,0.32079,0.24952,0.12489,0.73019,0.13735,3.32308,4.37101,4.84337,0.00123596,0.00123596,0.00123596
80,225.414,3.47405,3.03642,3.83648,0.31216,0.32197,0.24761,0.10562,0.71756,0.11982,3.35677,4.41813,4.83214,0.00113873,0.00113873,0.00113873
81,228.063,3.50367,3.04747,3.9986,0.32034,0.32197,0.23743,0.1008,0.7095,0.11447,3.37229,4.41782,4.82494,0.00104537,0.00104537,0.00104537
82,230.62,3.23301,2.85081,3.8781,0.32227,0.32197,0.24286,0.10761,0.71107,0.12113,3.35196,4.2981,4.78444,0.000955951,0.000955951,0.000955951
83,233.116,3.29422,2.96806,3.86514,0.30708,0.32197,0.24518,0.10929,0.70823,0.12287,3.32113,4.31011,4.74385,0.000870577,0.000870577,0.000870577
84,235.636,3.32099,2.8123,3.79865,0.32765,0.1553,0.24236,0.10807,0.713,0.1215,3.2816,4.40523,4.70814,0.000789327,0.000789327,0.000789327
85,238.344,3.38095,3.07985,3.93582,0.34326,0.19697,0.23736,0.13127,0.70056,0.14188,3.27355,4.39201,4.69529,0.000712282,0.000712282,0.000712282
86,240.852,3.32065,2.92702,3.77423,0.3385,0.19697,0.23812,0.12038,0.69832,0.13216,3.24664,4.36341,4.67443,0.000639518,0.000639518,0.000639518
87,243.425,3.22584,2.88229,3.90088,0.35957,0.2197,0.26897,0.12556,0.69946,0.1399,3.26009,4.28816,4.68036,0.000571106,0.000571106,0.000571106
88,246.026,3.30668,2.99059,3.81946,0.36881,0.2197,0.2832,0.14439,0.70973,0.15827,3.25562,4.20223,4.67529,0.000507115,0.000507115,0.000507115
89,248.959,3.36902,2.65726,3.86878,0.37822,0.2197,0.28286,0.14323,0.70849,0.15719,3.26625,4.18893,4.69032,0.000447606,0.000447606,0.000447606
90,251.52,3.19694,2.90454,3.79998,0.36336,0.3447,0.27248,0.138,0.7154,0.15145,3.2751,4.25323,4.71969,0.00039264,0.00039264,0.00039264
91,254.2,3.17834,2.68693,3.74308,0.35453,0.3447,0.27651,0.14237,0.71544,0.15578,3.28888,4.32487,4.73627,0.00034227,0.00034227,0.00034227
92,256.695,3.28777,2.88313,3.86099,0.38455,0.3447,0.27723,0.1303,0.71479,0.14499,3.32119,4.32142,4.76454,0.000296546,0.000296546,0.000296546
93,259.325,3.32248,2.90771,3.93366,0.39861,0.2197,0.27894,0.13092,0.71496,0.14572,3.31584,4.30974,4.76656,0.000255513,0.000255513,0.000255513
94,261.843,3.04639,2.7501,3.81461,0.39578,0.2197,0.28212,0.14499,0.71396,0.1587,3.27515,4.31162,4.73639,0.000219212,0.000219212,0.000219212
95,264.425,3.2488,2.928,3.79902,0.39943,0.2197,0.28383,0.1332,0.71483,0.14826,3.26636,4.31058,4.73308,0.000187678,0.000187678,0.000187678
96,267.01,3.3611,3.0447,3.92411,0.38532,0.2197,0.28794,0.13548,0.7164,0.15072,3.24646,4.30137,4.72022,0.000160943,0.000160943,0.000160943
97,269.573,3.32411,2.86641,3.88382,0.38438,0.2197,0.28812,0.13559,0.71626,0.15085,3.24978,4.29716,4.72768,0.000139032,0.000139032,0.000139032
98,272.155,3.21987,2.82115,3.88027,0.37937,0.2197,0.28559,0.13388,0.71646,0.14905,3.24609,4.29659,4.72368,0.000121968,0.000121968,0.000121968
99,274.746,3.26685,2.76673,3.86631,0.35164,0.19697,0.2528,0.1425,0.72585,0.15353,3.22998,4.29326,4.71687,0.000109768,0.000109768,0.000109768
100,277.288,3.23167,2.93152,3.87502,0.35855,0.19697,0.25488,0.14473,0.72681,0.15574,3.22137,4.30312,4.71018,0.000102443,0.000102443,0.000102443
