epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),metrics/fitness(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.99274,7.17889,7.60677,7.00345,0,0,0,0,0,0,5.6256,6.7132,6.93329,0.0006,0.0006,0.0006
2,9.30119,7.18111,7.10452,6.9061,0,0,0,0,0,0,5.60464,6.56217,6.91394,0.00129968,0.00129968,0.00129968
3,12.6739,5.8386,6.13203,6.65747,0,0,0,0,0,0,5.5507,6.31949,6.86448,0.00199805,0.00199805,0.00199805
4,16.0665,5.86248,5.98884,6.38104,0,0,0,0,0,0,5.32436,6.21718,6.724,0.00269407,0.00269407,0.00269407
5,19.9635,5.89603,5.74939,6.09476,0.25,0.02273,0.13636,0.02727,0.57756,0.03818,5.09118,6.21354,6.62833,0.00338673,0.00338673,0.00338673
6,23.36,5.64791,5.64777,5.94228,0.16667,0.10985,0.16697,0.05288,0.59902,0.06429,4.83335,6.0325,6.45215,0.00407501,0.00407501,0.00407501
7,26.5824,5.05958,5.05803,5.71033,0.04023,0.36742,0.14318,0.05708,0.66976,0.06569,4.34622,5.71832,6.18971,0.00475791,0.00475791,0.00475791
8,30.998,5.1231,5.27844,5.52142,0.05817,0.51515,0.24901,0.06292,0.65556,0.08153,4.02736,5.57404,6.0001,0.00543443,0.00543443,0.00543443
9,34.6189,5.16368,5.00424,5.53863,0.02871,0.70833,0.26371,0.0941,0.66238,0.11106,3.82555,5.36138,5.82469,0.00610358,0.00610358,0.00610358
10,37.8053,4.89989,5.4017,5.46881,0.02958,0.58333,0.24817,0.08346,0.67005,0.09993,3.74921,5.27201,5.65183,0.00676438,0.00676438,0.00676438
11,40.3848,4.67186,5.00759,5.25682,0.03475,0.625,0.28059,0.09988,0.70643,0.11795,3.58191,4.87946,5.40995,0.00741587,0.00741587,0.00741587
12,43.6615,4.65236,5.07715,5.19256,0.01853,0.58333,0.24363,0.0944,0.68167,0.10932,3.40343,5.10476,5.06644,0.00805711,0.00805711,0.00805711
13,46.7152,4.71185,4.8192,5.17809,0.0201,0.75,0.2471,0.10943,0.67401,0.1232,3.15,4.92458,4.76407,0.00868715,0.00868715,0.00868715
14,49.9513,4.54002,4.69754,5.00075,0.66395,0.21212,0.27018,0.09649,0.66777,0.11386,3.41083,4.66408,4.91581,0.0093051,0.0093051,0.0093051
15,52.5545,4.80093,5.04613,5.05959,0.63386,0.19318,0.2733,0.10802,0.65912,0.12455,3.54668,4.43315,5.00813,0.00952889,0.00952889,0.00952889
16,55.7646,4.33105,4.72302,4.83448,0.42127,0.20835,0.17113,0.08617,0.69588,0.09467,3.47001,4.39901,5.12678,0.00946048,0.00946048,0.00946048
17,58.3411,4.49967,4.76952,4.807,0.69687,0.18774,0.18917,0.08738,0.69138,0.09756,4.03912,4.49627,5.95714,0.00938772,0.00938772,0.00938772
18,60.8928,4.4933,4.37111,4.84068,0.62258,0.23475,0.24803,0.10796,0.67879,0.12197,3.8509,4.74042,5.37133,0.00931067,0.00931067,0.00931067
19,63.4642,4.31125,4.96191,4.80412,0.7826,0.16667,0.21366,0.08321,0.6917,0.09626,3.97263,4.69937,5.6123,0.00922942,0.00922942,0.00922942
20,66.0753,4.25627,4.47741,4.81359,0.59339,0.2197,0.18276,0.07279,0.69217,0.08378,3.55233,4.13639,5.07851,0.00914405,0.00914405,0.00914405
21,68.6509,4.15798,4.4387,4.72858,0.33533,0.2197,0.21413,0.10072,0.7102,0.11206,3.47682,4.62436,4.9743,0.00905463,0.00905463,0.00905463
22,71.2727,4.26733,4.37682,4.60045,0.70275,0.17803,0.27695,0.1271,0.6953,0.14208,3.78108,4.12352,5.58737,0.00896127,0.00896127,0.00896127
23,74.3876,4.12247,4.29975,4.60995,0.3291,0.22348,0.292,0.11956,0.67512,0.13681,4.12158,4.45294,5.81219,0.00886404,0.00886404,0.00886404
24,77.0283,4.31448,4.44539,4.71621,0.48062,0.39394,0.19603,0.0885,0.68989,0.09925,4.02541,5.34,5.62651,0.00876305,0.00876305,0.00876305
25,79.6113,4.15958,4.45015,4.54981,0.59184,0.2803,0.23228,0.10556,0.72667,0.11823,3.82187,4.69975,5.35512,0.00865839,0.00865839,0.00865839
26,82.3366,3.90623,4.04516,4.535,0.61522,0.18939,0.23131,0.1003,0.71125,0.1134,3.69657,4.67563,5.12714,0.00855018,0.00855018,0.00855018
27,84.8612,3.91385,3.96394,4.5203,0.52878,0.49621,0.29969,0.11882,0.66347,0.13691,4.25193,4.04574,5.67363,0.00843851,0.00843851,0.00843851
28,87.6226,4.0681,4.25851,4.51493,0.66515,0.19697,0.27133,0.08451,0.65061,0.10319,4.28101,3.98033,5.7731,0.00832349,0.00832349,0.00832349
29,90.3653,4.00257,3.90664,4.50311,0.54096,0.36742,0.31027,0.13055,0.6761,0.14852,4.12443,3.79958,5.68379,0.00820525,0.00820525,0.00820525
30,93.418,3.97685,3.95474,4.37253,0.55037,0.2803,0.27373,0.11174,0.7028,0.12793,4.03591,3.94019,5.57978,0.00808389,0.00808389,0.00808389
31,96.009,4.16604,4.07672,4.47318,0.49601,0.21212,0.19311,0.09656,0.70148,0.10622,3.7015,4.10019,5.27627,0.00795954,0.00795954,0.00795954
32,98.6343,4.06702,4.2419,4.35141,0.44715,0.23485,0.22258,0.0999,0.68173,0.11217,3.88913,4.26998,5.58786,0.00783231,0.00783231,0.00783231
33,101.21,4.07732,3.87242,4.37978,0.45129,0.30303,0.18859,0.08744,0.66737,0.09756,4.10377,4.18409,6.12869,0.00770234,0.00770234,0.00770234
34,103.81,3.82,3.86809,4.50563,0.44346,0.41513,0.26267,0.15182,0.6852,0.16291,3.8561,4.46104,5.83212,0.00756976,0.00756976,0.00756976
35,106.823,3.7825,3.88555,4.35464,0.54073,0.30303,0.29775,0.1517,0.67719,0.16631,3.824,4.2486,5.61007,0.00743468,0.00743468,0.00743468
36,109.814,3.84458,3.76898,4.40223,0.59292,0.32955,0.32102,0.16525,0.68137,0.18082,3.5998,4.00058,5.20616,0.00729725,0.00729725,0.00729725
37,113.077,3.78118,3.66277,4.29799,0.49808,0.32197,0.27937,0.14977,0.70254,0.16273,3.66194,4.10377,5.13675,0.00715761,0.00715761,0.00715761
38,115.733,3.75668,3.80232,4.27377,0.49355,0.32197,0.2365,0.1075,0.67981,0.1204,3.93955,4.22209,5.30296,0.00701588,0.00701588,0.00701588
39,118.353,3.81315,3.54618,4.30171,0.60304,0.24242,0.25067,0.11751,0.72039,0.13082,3.63405,4.13229,5.11708,0.00687222,0.00687222,0.00687222
40,121.044,3.98506,3.77921,4.4306,0.2887,0.3447,0.26868,0.14761,0.68905,0.15972,3.70955,4.1853,5.09795,0.00672675,0.00672675,0.00672675
41,123.512,3.80599,3.70015,4.30298,0.35992,0.2803,0.26973,0.11017,0.67776,0.12613,3.93098,4.35819,5.25462,0.00657963,0.00657963,0.00657963
42,126.02,3.74344,3.55932,4.30453,0.76414,0.10472,0.17364,0.08884,0.69335,0.09732,3.80859,4.40051,5.24167,0.00643101,0.00643101,0.00643101
43,128.552,3.64482,3.36847,4.16892,0.77152,0.13258,0.16977,0.07662,0.67135,0.08594,3.72467,4.32019,5.18253,0.00628101,0.00628101,0.00628101
44,131.014,3.6996,3.73249,4.2607,0.72042,0.13258,0.19126,0.08978,0.67102,0.09993,3.73106,4.29407,5.17135,0.00612981,0.00612981,0.00612981
45,133.471,3.74156,3.74825,4.1892,0.41836,0.3447,0.18998,0.09095,0.69308,0.10085,3.65439,4.25937,4.99543,0.00597754,0.00597754,0.00597754
46,136.013,3.80289,3.56002,4.29167,0.59332,0.27652,0.29505,0.16459,0.71609,0.17764,3.48759,4.19095,4.81542,0.00582435,0.00582435,0.00582435
47,138.71,3.69603,3.4874,4.17618,0.33478,0.28409,0.29539,0.16205,0.70761,0.17538,3.37103,4.14962,4.81255,0.0056704,0.0056704,0.0056704
48,141.468,3.67987,3.63697,4.14999,0.28539,0.36742,0.31112,0.14774,0.68706,0.16408,3.69608,3.91482,5.14118,0.00551584,0.00551584,0.00551584
49,144.024,3.58985,3.4496,4.13834,0.63577,0.29924,0.30902,0.16159,0.7052,0.17633,3.64688,4.05812,5.0768,0.00536081,0.00536081,0.00536081
50,146.877,3.58416,3.41186,4.26048,0.62796,0.2537,0.28811,0.13266,0.68778,0.1482,3.58897,4.38876,4.91468,0.00520548,0.00520548,0.00520548
51,149.534,3.60224,3.34514,4.13277,0.61004,0.29924,0.28969,0.13792,0.71703,0.1531,3.50945,4.15083,4.92258,0.00505,0.00505,0.00505
52,152.137,3.59267,3.62647,4.09513,0.56341,0.3447,0.28707,0.13366,0.70687,0.149,3.4051,4.42657,4.95201,0.00489452,0.00489452,0.00489452
53,154.893,3.63845,3.31712,4.16981,0.32189,0.36742,0.27413,0.12799,0.71576,0.14261,3.35041,4.24368,4.89831,0.00473919,0.00473919,0.00473919
54,157.697,3.56821,3.52869,4.28255,0.6509,0.23485,0.2696,0.13072,0.72571,0.14461,3.4187,4.06599,4.95318,0.00458416,0.00458416,0.00458416
55,160.382,3.59134,3.34508,4.06534,0.54622,0.34296,0.28572,0.14166,0.75349,0.15607,3.39848,4.11574,4.9185,0.0044296,0.0044296,0.0044296
56,162.983,3.32691,3.08098,4.09477,0.58534,0.3447,0.28229,0.12721,0.73708,0.14272,3.3491,4.17965,4.88721,0.00427565,0.00427565,0.00427565
57,165.521,3.48972,3.23342,4.06186,0.26343,0.3447,0.27393,0.12684,0.7252,0.14155,3.31994,4.09337,4.86867,0.00412246,0.00412246,0.00412246
58,168.105,3.48499,3.26025,4.11757,0.60245,0.1553,0.26879,0.12724,0.71066,0.1414,3.44906,4.3037,4.97888,0.00397019,0.00397019,0.00397019
59,170.711,3.51878,3.23773,4.07822,0.74675,0.13159,0.26804,0.11094,0.70926,0.12665,3.71218,4.06037,5.11695,0.00381899,0.00381899,0.00381899
60,173.612,3.51014,3.05194,4.05472,0.65064,0.2786,0.2908,0.14147,0.73983,0.1564,3.48827,4.0532,4.88773,0.00366899,0.00366899,0.00366899
61,176.401,3.64135,3.27522,4.09061,0.60893,0.2803,0.30618,0.14527,0.7163,0.16137,3.44653,4.05996,4.85884,0.00352037,0.00352037,0.00352037
62,178.949,3.52342,3.33211,4.08815,0.74661,0.1553,0.29677,0.1381,0.70348,0.15396,3.54335,4.11399,4.90047,0.00337325,0.00337325,0.00337325
63,181.492,3.48341,3.38064,3.99172,0.71703,0.1553,0.27962,0.12856,0.70721,0.14367,3.52623,4.32878,4.89213,0.00322778,0.00322778,0.00322778
64,184.024,3.38198,3.14395,4.03565,0.57485,0.34811,0.27382,0.12755,0.70967,0.14218,3.54886,4.36993,4.98043,0.00308412,0.00308412,0.00308412
65,186.52,3.29305,3.23278,4.04122,0.56204,0.35143,0.28366,0.12894,0.70802,0.14441,3.67051,4.31496,5.09326,0.00294239,0.00294239,0.00294239
66,189.116,3.53876,3.19305,4.04056,0.52091,0.29924,0.2345,0.12087,0.72265,0.13223,3.48851,4.58217,4.98942,0.00280275,0.00280275,0.00280275
67,191.769,3.62043,3.15098,3.9842,0.61837,0.3447,0.26596,0.12541,0.71895,0.13947,3.57018,4.38617,5.07459,0.00266532,0.00266532,0.00266532
68,194.265,3.48362,3.20285,4.06689,0.60756,0.33936,0.2555,0.10786,0.70613,0.12262,3.56453,4.31616,5.03049,0.00253024,0.00253024,0.00253024
69,196.832,3.20672,3.17928,3.82027,0.56285,0.2803,0.2517,0.1083,0.72797,0.12264,3.59995,4.34651,5.00629,0.00239766,0.00239766,0.00239766
70,199.345,3.5257,3.15123,3.86386,0.52802,0.2803,0.2655,0.11828,0.72891,0.13301,3.60791,4.36494,4.96796,0.00226769,0.00226769,0.00226769
71,201.905,3.46613,3.05463,3.92971,0.55834,0.29924,0.25862,0.12853,0.73729,0.14154,3.63751,4.25687,4.97579,0.00214046,0.00214046,0.00214046
72,204.489,3.39469,3.16901,3.94476,0.58599,0.17424,0.25645,0.12591,0.74615,0.13897,3.68064,4.19523,5.01591,0.00201611,0.00201611,0.00201611
73,207.124,3.31906,3.07955,3.88945,0.34648,0.19697,0.26069,0.11745,0.73852,0.13178,3.58732,4.19846,4.95962,0.00189475,0.00189475,0.00189475
74,209.64,3.46267,3.05093,3.97804,0.32598,0.32197,0.26076,0.12515,0.71479,0.13871,3.37286,4.28038,4.83215,0.00177651,0.00177651,0.00177651
75,212.305,3.33154,2.92001,3.91803,0.30586,0.30468,0.24016,0.11461,0.72114,0.12717,3.30625,4.2626,4.81091,0.00166149,0.00166149,0.00166149
