epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,12978.8,3.05343,2.86119,0.98163,0.33603,0.28372,0.22943,0.09819,0.69204,2.78297,6.79456,0.90656,0.000687222,0.000687222,0.000687222
40,13305.3,3.05128,2.8416,0.98148,0.2957,0.28366,0.22214,0.09521,0.69025,2.76094,6.94412,0.89745,0.000672675,0.000672675,0.000672675
41,13634.3,3.05497,2.84465,0.98876,0.30614,0.29491,0.22725,0.09681,0.69069,2.74362,6.84581,0.89579,0.000657963,0.000657963,0.000657963
42,13962.1,3.04137,2.81069,0.98069,0.31936,0.28912,0.23253,0.09876,0.69089,2.75977,6.85812,0.90169,0.000643101,0.000643101,0.000643101
43,14289.5,3.03285,2.78756,0.97511,0.28991,0.28111,0.22672,0.09778,0.69295,2.74805,6.00722,0.89587,0.000628101,0.000628101,0.000628101
44,14615.8,3.02885,2.80798,0.98,0.29809,0.28442,0.2304,0.10028,0.6919,2.77217,6.60677,0.89896,0.000612981,0.000612981,0.000612981
45,14942.2,3.0317,2.77789,0.97854,0.31497,0.28205,0.22615,0.09695,0.6928,2.76335,5.98775,0.89583,0.000597754,0.000597754,0.000597754
46,15268.8,3.02857,2.76533,0.97044,0.30663,0.29369,0.22673,0.09709,0.69257,2.74898,6.01143,0.89278,0.000582435,0.000582435,0.000582435
47,15595.8,3.00204,2.73801,0.96927,0.30392,0.27463,0.22509,0.09637,0.69279,2.74793,5.95616,0.89419,0.00056704,0.00056704,0.00056704
48,15923.7,3.00767,2.73423,0.97129,0.31756,0.28744,0.22973,0.09696,0.69122,2.76807,6.57471,0.89968,0.000551584,0.000551584,0.000551584
49,16248.5,2.99033,2.73013,0.96783,0.31954,0.28763,0.2264,0.09763,0.69303,2.75731,6.37162,0.89806,0.000536081,0.000536081,0.000536081
50,16574.6,2.96553,2.68316,0.96076,0.31882,0.28594,0.22614,0.09779,0.69191,2.76325,6.49945,0.89424,0.000520548,0.000520548,0.000520548
51,16900.3,2.99513,2.69735,0.96097,0.30676,0.2736,0.22275,0.09504,0.69064,2.78307,6.20663,0.90003,0.000505,0.000505,0.000505
