epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),metrics/fitness(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,345.133,3.18383,3.10565,2.59924,0.26847,0.18727,0.13267,0.05005,0.66379,0.05831,1.93384,7.31504,1.73585,0.07008,0.00332444,0.00332444
2,683.734,2.28001,2.25647,1.91543,0.31082,0.21475,0.16114,0.05911,0.66735,0.06931,1.80128,6.67233,1.59426,0.0400784,0.00665615,0.00665615
3,1015.67,2.16827,2.15304,1.8061,0.29501,0.22817,0.16058,0.06303,0.6719,0.07278,1.73125,7.89843,1.57283,0.0100702,0.00998135,0.00998135
4,1612.44,2.10512,2.0704,1.75927,0.25868,0.2339,0.16565,0.06494,0.67418,0.07501,1.73534,9.43412,1.54786,0.00997803,0.00997803,0.00997803
