epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),metrics/fitness(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1109.71,7.14238,6.76298,5.60055,0.36528,0.11358,0.05497,0.016,0.62977,0.01989,4.47322,36.7142,3.65319,0.00332444,0.00332444,0.00332444
2,4261.57,5.02521,4.71633,3.97643,0.32049,0.16703,0.11485,0.0396,0.65643,0.04713,3.53509,13.0813,3.00567,0.00602837,0.00602837,0.00602837
3,8598.43,4.22483,3.94042,3.32972,0.36482,0.18154,0.13979,0.05405,0.66933,0.06263,3.29751,11.6467,2.78234,0.00657379,0.00657379,0.00657379
4,11218.8,3.76033,3.3474,2.98374,0.3435,0.22255,0.17016,0.06892,0.68196,0.07905,2.94563,10.8823,2.51689,0.00352037,0.00352037,0.00352037
5,13433.9,3.4561,2.94921,2.7645,0.28197,0.24579,0.19128,0.07696,0.67637,0.08839,2.96142,9.72394,2.47459,0.00104537,0.00104537,0.00104537
