epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),metrics/fitness(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.8547,6.66276,6.58652,6.93234,0,0,0,0,0,0,5.43428,6.53153,6.85821,0.0016,0.0016,0.0016
2,12.8236,5.70185,5.16453,6.29529,0.05906,0.03259,0.03777,0.01683,0.69576,0.01892,4.49533,6.03055,6.27134,0.00329919,0.00329919,0.00329919
3,17.7435,5.01116,4.69764,5.61657,0.03493,0.27749,0.0867,0.03685,0.65553,0.04184,4.26177,5.5566,5.61851,0.00499512,0.00499512,0.00499512
4,22.559,4.52504,4.47049,5.20356,0.0345,0.64057,0.23954,0.09275,0.67786,0.10743,3.83118,4.93473,4.91807,0.00668528,0.00668528,0.00668528
5,27.2339,4.27978,4.48655,5.00111,0.02105,0.66195,0.23605,0.10708,0.69084,0.11998,3.47401,4.59578,4.43388,0.00836721,0.00836721,0.00836721
6,31.8105,4.11988,4.39592,4.76835,0.62255,0.15702,0.20043,0.07857,0.68792,0.09076,3.4663,4.15666,4.34187,0.00993906,0.00993906,0.00993906
7,36.1294,3.91318,4.25444,4.53302,0.77334,0.15051,0.21783,0.08925,0.69793,0.10211,3.13513,3.85496,3.96988,0.00991232,0.00991232,0.00991232
8,40.3191,3.77949,4.197,4.35258,0.56479,0.24998,0.26771,0.12842,0.70721,0.14235,3.0595,3.64025,3.90022,0.00988079,0.00988079,0.00988079
9,44.9959,3.65797,4.11438,4.2896,0.66692,0.2312,0.24038,0.10631,0.69505,0.11971,3.06927,3.79193,3.93972,0.00984449,0.00984449,0.00984449
10,49.4182,3.55076,4.11607,4.17659,0.52843,0.29348,0.30597,0.1424,0.7,0.15876,3.15379,3.64072,3.96984,0.00980345,0.00980345,0.00980345
11,54.1437,3.49122,3.99117,4.09719,0.45348,0.28054,0.29244,0.14711,0.71488,0.16165,3.0176,3.72167,3.86452,0.00975773,0.00975773,0.00975773
12,58.8521,3.45251,4.0089,4.04599,0.53542,0.35038,0.31517,0.16143,0.71414,0.1768,2.96513,3.64398,3.83324,0.00970736,0.00970736,0.00970736
13,63.6296,3.40546,3.91647,3.97003,0.66768,0.22788,0.30747,0.14206,0.71279,0.1586,3.00663,3.61531,3.85361,0.00965239,0.00965239,0.00965239
14,67.8585,3.3242,3.78019,3.94813,0.47049,0.34942,0.31079,0.15466,0.71597,0.17027,3.08133,3.67518,3.93058,0.00959289,0.00959289,0.00959289
15,72.0243,3.36095,3.78245,3.92105,0.52407,0.34566,0.3227,0.15925,0.70895,0.17559,3.12533,3.59517,3.91028,0.00952889,0.00952889,0.00952889
16,76.2394,3.34381,3.82261,3.91528,0.52415,0.28316,0.28976,0.13922,0.72749,0.15428,3.07556,3.71266,3.89343,0.00946048,0.00946048,0.00946048
17,80.4365,3.27054,3.65793,3.85375,0.35701,0.36309,0.33963,0.17141,0.72397,0.18823,3.04409,3.63252,3.89051,0.00938772,0.00938772,0.00938772
18,85.082,3.1662,3.67375,3.74906,0.32474,0.39101,0.34873,0.1811,0.72305,0.19786,2.99032,3.54518,3.82383,0.00931067,0.00931067,0.00931067
19,89.776,3.14134,3.71458,3.76359,0.62715,0.29733,0.33288,0.16491,0.72325,0.18171,3.10167,3.42277,3.91057,0.00922942,0.00922942,0.00922942
20,94.0515,3.15975,3.63918,3.76011,0.42344,0.38785,0.2959,0.14243,0.72227,0.15777,3.09907,3.44699,3.87287,0.00914405,0.00914405,0.00914405
