epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),metrics/fitness(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.4441,6.37821,6.65895,4.81831,0.78825,0.03443,0.0329,0.01094,0.62871,0.01314,4.58986,4.89211,3.75888,0.00331615,0.00331615,0.00331615
2,181.868,4.67634,4.93409,3.53447,0.43029,0.08003,0.03557,0.01172,0.62113,0.01411,4.45396,4.85436,3.54531,0.00664786,0.00664786,0.00664786
3,266.47,4.6045,4.90833,3.37021,0.56892,0.09735,0.06008,0.02122,0.6363,0.02511,4.19441,4.65638,3.31513,0.00997307,0.00997307,0.00997307
4,350.986,4.44874,4.86604,3.25838,0.54627,0.03968,0.0412,0.01548,0.63162,0.01805,4.20116,4.72424,3.35685,0.00997803,0.00997803,0.00997803
5,438.42,4.34618,4.73671,3.19395,0.36434,0.0735,0.0462,0.01417,0.64104,0.01737,4.10671,4.61949,3.24925,0.00996097,0.00996097,0.00996097
6,527.944,4.26412,4.65465,3.13647,0.32667,0.08177,0.04626,0.01415,0.64378,0.01736,4.0098,4.5509,3.17478,0.00993906,0.00993906,0.00993906
7,617.625,4.22053,4.64714,3.0874,0.32184,0.0794,0.04459,0.0147,0.63708,0.01769,4.05493,4.64909,3.16834,0.00991232,0.00991232,0.00991232
8,706.458,4.15956,4.61894,3.05878,0.21968,0.06361,0.04732,0.01549,0.64704,0.01868,3.99513,4.53436,3.13011,0.00988079,0.00988079,0.00988079
9,793.697,4.15522,4.57857,3.01712,0.19961,0.11405,0.0614,0.02165,0.63508,0.02563,4.03628,4.63716,3.19894,0.00984449,0.00984449,0.00984449
10,878.804,4.10361,4.57122,3.02511,0.40714,0.08547,0.06949,0.02281,0.64332,0.02748,3.95057,4.55534,3.08837,0.00980345,0.00980345,0.00980345
11,960.97,4.04828,4.52827,2.9721,0.11862,0.1406,0.05829,0.02075,0.65071,0.0245,3.90738,4.45013,3.05202,0.00975773,0.00975773,0.00975773
12,1045.65,4.05106,4.48116,2.96569,0.34908,0.08926,0.0584,0.02058,0.65301,0.02436,3.90751,4.49841,3.0606,0.00970736,0.00970736,0.00970736
13,1126.75,4.02479,4.46796,2.9493,0.13097,0.10132,0.0679,0.0228,0.64371,0.02731,3.86847,4.51275,3.05998,0.00965239,0.00965239,0.00965239
14,1210.74,3.95835,4.41419,2.94693,0.47037,0.08987,0.05948,0.02266,0.65168,0.02634,3.9109,4.41696,3.08528,0.00959289,0.00959289,0.00959289
15,1294,4.01556,4.50619,2.9309,0.35136,0.09632,0.06079,0.01948,0.64664,0.02361,3.90546,4.46822,3.04963,0.00952889,0.00952889,0.00952889
16,1377.73,3.92183,4.40712,2.91343,0.2429,0.12568,0.0594,0.0206,0.65263,0.02448,3.8896,4.46687,3.02205,0.00946048,0.00946048,0.00946048
17,1459.37,3.94171,4.37931,2.89963,0.22687,0.13125,0.06367,0.02081,0.65538,0.02509,3.86748,4.41306,2.99895,0.00938772,0.00938772,0.00938772
18,1540.08,3.94572,4.44118,2.91419,0.32129,0.09962,0.06096,0.01795,0.65229,0.02226,3.91155,4.4992,3.05587,0.00931067,0.00931067,0.00931067
19,1619.44,3.92355,4.38464,2.8743,0.34715,0.11009,0.06606,0.02289,0.65111,0.0272,3.85408,4.48882,3.01363,0.00922942,0.00922942,0.00922942
